symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin
DOGE,conservative,long,2025-08-04 13:39:00,2025-08-05 07:36:00,0.20283,0.20283,0.26664,stop,breakout,True,359,1,7.0,0.017056500517675013,0.12762289648713482,0.13901710351286517,3.4754275878216294,3.4754275878216294,DOGE
DOGE,conservative,long,2025-08-13 22:39:00,2025-08-14 06:18:00,0.24524,0.24524,0.26664,stop,breakout,True,153,1,7.0,0.02449334903755985,0.07878057006581721,0.18785942993418278,4.6964857483545694,8.1719133361762,DOGE
DOGE,conservative,long,2025-08-21 01:48:00,2025-08-21 09:15:00,0.22305,0.218232831674176,-1.0,stop,breakout,True,149,0,7.0,0.021596809351374084,0.061805425898019246,-1.0618054258980192,-26.54513564745048,-18.37322231127428,DOGE
DOGE,conservative,long,2025-08-27 03:39:00,2025-08-27 07:21:00,0.21932,0.21932,0.26664,stop,breakout,True,74,1,7.0,0.015849261353273643,0.11576564731333834,0.15087435268666166,3.7718588171665415,-14.601363494107737,DOGE
DOGE,conservative,long,2025-09-03 13:39:00,2025-09-04 03:06:00,0.21736,0.21736,0.26664,stop,breakout,True,269,1,7.0,0.01426705054366306,0.14500544409432198,0.12163455590567801,3.0408638976419504,-11.560499596465787,DOGE
DOGE,conservative,long,2025-09-12 05:18:00,2025-09-14 05:18:00,0.26277,0.28769,3.1713807067092077,max_hold_time,breakout,True,960,1,7.0,0.021766837804554157,0.13313831003020876,3.038242396678999,75.95605991697497,64.39556032050918,DOGE
DOGE,conservative,short,2025-09-17 10:27:00,2025-09-17 17:39:00,0.26537,0.27035008,-1.0,stop,breakout,True,144,0,7.0,0.018766552360854647,0.07080682559316319,-1.070806825593163,-26.77017063982908,37.6253896806801,DOGE
DOGE,conservative,short,2025-09-23 02:48:00,2025-09-23 06:18:00,0.23718,0.24175151,-1.0,stop,breakout,True,70,0,7.0,0.01927443292014504,0.06433392905188876,-1.0643339290518887,-26.608348226297217,11.017041454382884,DOGE
DOGE,conservative,short,2025-09-24 03:18:00,2025-09-24 04:36:00,0.23711,0.23711,0.26664,stop,breakout,True,26,1,7.0,0.019322044620640272,0.09197784369577289,0.1746621563042271,4.366553907605677,15.383595361988561,DOGE
DOGE,conservative,long,2025-09-26 23:39:00,2025-09-27 08:54:00,0.23218,0.22960017000000002,-1.0,stop,breakout,True,185,0,7.0,0.011111336032388567,0.12401748952450464,-1.1240174895245048,-28.10043723811262,-12.716841876124057,DOGE
DOGE,conservative,short,2025-09-28 06:27:00,2025-09-28 13:33:00,0.22772,0.22772,0.26664,stop,breakout,True,142,1,7.0,0.011123011862780953,0.1722914641862897,0.09434853581371028,2.358713395342757,-10.3581284807813,DOGE
DOGE,conservative,short,2025-09-30 14:27:00,2025-09-30 19:48:00,0.2281,0.2318195624977817,-1.0,stop,breakout,True,107,0,7.0,0.01630671853477297,0.07876508061760581,-1.078765080617606,-26.969127015440147,-37.32725549622145,DOGE
DOGE,conservative,long,2025-10-01 05:09:00,2025-10-03 05:09:00,0.23389,0.25929,5.475762481058942,max_hold_time,breakout,True,960,1,7.0,0.013899140621659709,0.20850209943799725,5.267260381620944,131.6815095405236,94.35425404430214,DOGE
DOGE,conservative,long,2025-10-07 04:48:00,2025-10-07 06:21:00,0.26798,0.26389584,-1.0,stop,breakout,True,31,0,7.0,0.015240540338831269,0.07829118741675148,-1.0782911874167516,-26.95727968541879,67.39697435888334,DOGE
