symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin
DOGE,conservative,long,2025-08-04 13:39:00,2025-08-05 07:36:00,0.20283,0.20283,0.26664,stop,breakout,True,359,1,7.0,0.017056500517675013,0.12762289648713482,0.13901710351286517,3.4754275878216294,3.4754275878216294,DOGE
DOGE,conservative,long,2025-08-13 22:39:00,2025-08-14 06:18:00,0.24524,0.24524,0.26664,stop,breakout,True,153,1,7.0,0.02449334903755985,0.07878057006581721,0.18785942993418278,4.6964857483545694,8.1719133361762,DOGE
DOGE,conservative,long,2025-08-21 01:48:00,2025-08-21 09:15:00,0.22305,0.218232831674176,-1.0,stop,breakout,True,149,0,7.0,0.021596809351374084,0.061805425898019246,-1.0618054258980192,-26.54513564745048,-18.37322231127428,DOGE
DOGE,conservative,long,2025-08-27 03:39:00,2025-08-27 07:21:00,0.21932,0.21932,0.26664,stop,breakout,True,74,1,7.0,0.015849261353273643,0.11576564731333834,0.15087435268666166,3.7718588171665415,-14.601363494107737,DOGE
DOGE,conservative,long,2025-09-03 13:39:00,2025-09-04 03:06:00,0.21736,0.21736,0.26664,stop,breakout,True,269,1,7.0,0.01426705054366306,0.14500544409432198,0.12163455590567801,3.0408638976419504,-11.560499596465787,DOGE
DOGE,conservative,long,2025-09-12 05:18:00,2025-09-13 11:18:00,0.26277,0.29378,3.881247115371287,max_hold_time,breakout,True,600,1,7.0,0.021766837804554157,0.11329160542943231,3.7679555099418547,94.19888774854637,82.63838815208058,DOGE
DOGE,conservative,short,2025-09-17 10:27:00,2025-09-17 17:39:00,0.26537,0.27035008,-1.0,stop,breakout,True,144,0,7.0,0.018766552360854647,0.07080682559316319,-1.070806825593163,-26.77017063982908,55.868217512251505,DOGE
DOGE,conservative,short,2025-09-23 02:48:00,2025-09-23 06:18:00,0.23718,0.24175151,-1.0,stop,breakout,True,70,0,7.0,0.01927443292014504,0.06433392905188876,-1.0643339290518887,-26.608348226297217,29.259869285954288,DOGE
DOGE,conservative,short,2025-09-24 03:18:00,2025-09-24 04:36:00,0.23711,0.23711,0.26664,stop,breakout,True,26,1,7.0,0.019322044620640272,0.09197784369577289,0.1746621563042271,4.366553907605677,33.626423193559965,DOGE
DOGE,conservative,long,2025-09-26 23:39:00,2025-09-27 08:54:00,0.23218,0.22960017000000002,-1.0,stop,breakout,True,185,0,7.0,0.011111336032388567,0.12401748952450464,-1.1240174895245048,-28.10043723811262,5.5259859554473465,DOGE
DOGE,conservative,short,2025-09-28 06:27:00,2025-09-28 13:33:00,0.22772,0.22772,0.26664,stop,breakout,True,142,1,7.0,0.011123011862780953,0.1722914641862897,0.09434853581371028,2.358713395342757,7.884699350790104,DOGE
DOGE,conservative,short,2025-09-30 14:27:00,2025-09-30 19:48:00,0.2281,0.2318195624977817,-1.0,stop,breakout,True,107,0,7.0,0.01630671853477297,0.07876508061760581,-1.078765080617606,-26.969127015440147,-19.084427664650043,DOGE
DOGE,conservative,long,2025-10-01 05:09:00,2025-10-02 11:09:00,0.23389,0.25767,5.143527110219747,max_hold_time,breakout,True,600,1,7.0,0.013899140621659709,0.1774210411366809,4.966106069083066,124.15265172707666,105.06822406242662,DOGE
DOGE,conservative,long,2025-10-07 04:48:00,2025-10-07 06:21:00,0.26798,0.26389584,-1.0,stop,breakout,True,31,0,7.0,0.015240540338831269,0.07829118741675148,-1.0782911874167516,-26.95727968541879,78.11094437700783,DOGE
DOGE,conservative,long,2025-10-24 00:48:00,2025-10-24 14:18:00,0.19572,0.19572,0.26664,stop,breakout,True,270,1,7.0,0.014912631345459755,0.13880850079689153,0.12783149920310846,3.1957874800777115,81.30673185708554,DOGE
